Rk,Player,Debut,Age,Yrs,G,MPTOT,FG,FGA,3P,3PA,FT,FTA,ORB,TRBTOT,ASTTOT,STL,BLK,TOV,PF,PTSTOT,FG%,3P%,FT%,MP,PTS,TRB,AST,ID
1,Precious Achiuwa,Dec 23 '20 MIA @ ORL,21,1,61,737,124,228,0,1,56,110,73,208,29,20,28,43,91,304,.544,.000,.509,12.1,5.0,3.4,0.5,achiupr01
2,Ty-Shon Alexander,Dec 27 '20 PHO @ SAC,22,1,15,47,3,12,2,9,1,2,2,10,6,0,1,3,2,9,.250,.222,.500,3.1,0.6,0.7,0.4,alexaty01
3,Cole Anthony,Dec 23 '20 ORL vs. MIA,20,1,47,1273,219,552,58,172,109,131,38,221,192,30,18,106,98,605,.397,.337,.832,27.1,12.9,4.7,4.1,anthoco01
4,Deni Avdija,Dec 23 '20 WAS @ PHI,20,1,54,1257,130,312,53,168,29,45,22,262,63,32,15,33,140,342,.417,.315,.644,23.3,6.3,4.9,1.2,avdijde01
5,Udoka Azubuike,Dec 23 '20 UTA @ POR,21,1,15,57,4,9,0,0,8,10,4,13,0,1,4,3,9,16,.444,,.800,3.8,1.1,0.9,0.0,azubuud01
6,LaMelo Ball,Dec 23 '20 CHO @ CLE,19,1,51,1469,293,672,92,261,125,165,63,302,313,81,18,145,136,803,.436,.352,.758,28.8,15.7,5.9,6.1,ballla01
7,Desmond Bane,Dec 23 '20 MEM vs. SAS,22,1,68,1519,234,499,117,271,40,49,31,210,118,41,16,59,125,625,.469,.432,.816,22.3,9.2,3.1,1.7,banede01
8,Saddiq Bey,Dec 26 '20 DET vs. CLE,21,1,70,1909,279,691,175,460,124,147,43,318,95,52,14,60,110,857,.404,.380,.844,27.3,12.2,4.5,1.4,beysa01
9,Tyler Bey,Jan 13 '21 DAL @ CHO,22,1,18,71,7,22,1,4,3,5,8,19,3,0,1,3,6,18,.318,.250,.600,3.9,1.0,1.1,0.2,beyty01
10,Keljin Blevins,Dec 23 '20 POR vs. UTA,25,1,17,75,5,20,2,8,0,0,3,10,4,2,0,5,8,12,.250,.250,,4.4,0.7,0.6,0.2,blevike01
11,Amida Brimah,Apr 25 '21 IND @ ORL,26,1,5,29,5,8,0,0,3,3,2,8,1,0,5,4,4,13,.625,,1.000,5.8,2.6,1.6,0.2,brimaam01
12,Armoni Brooks,Apr 9 '21 HOU @ LAC,22,1,20,520,78,192,60,157,7,12,10,68,30,12,5,22,34,223,.406,.382,.583,26.0,11.2,3.4,1.5,brookar01
13,Elijah Bryant,May 16 '21 MIL @ CHI,25,1,1,32,6,13,1,5,3,3,2,6,3,0,1,4,4,16,.462,.200,1.000,32.0,16.0,6.0,3.0,bryanel01
14,Facundo Campazzo,Dec 23 '20 DEN vs. SAC,29,1,65,1425,120,315,76,216,80,91,22,134,232,79,14,73,132,396,.381,.352,.879,21.9,6.1,2.1,3.6,campafa01
15,Devin Cannady,Apr 7 '21 ORL vs. WAS,24,1,8,74,11,28,6,16,6,7,0,5,1,5,1,2,9,34,.393,.375,.857,9.3,4.3,0.6,0.1,cannade01
